Rank,City,State,2010 Actual
1,New York City[d] , New York ," 8,175,133.00 "
2,Los Angeles , California ," 3,792,621.00 "
3,Chicago , Illinois ," 2,695,598.00 "
4,Houston[3] , Texas ," 2,100,263.00 "
5,Philadelphia[e] , Pennsylvania ," 1,526,006.00 "
6,Phoenix , Arizona ," 1,445,632.00 "
7,San Antonio , Texas ," 1,327,407.00 "
8,San Diego , California ," 1,307,402.00 "
9,Dallas , Texas ," 1,197,816.00 "
10,San Jose , California ," 945,942.00 "
11,Jacksonville[f] , Florida ," 821,784.00 "
12,Indianapolis[g] , Indiana ," 820,445.00 "
13,San Francisco[h] , California ," 805,235.00 "
14,Austin , Texas ," 790,390.00 "
15,Columbus , Ohio ," 787,033.00 "
16,Fort Worth , Texas ," 741,206.00 "
17,Charlotte , North Carolina ," 731,424.00 "
18,Detroit , Michigan ," 713,777.00 "
19,El Paso , Texas ," 649,121.00 "
20,Memphis , Tennessee ," 646,889.00 "
21,Baltimore[m] , Maryland ," 620,961.00 "
22,Boston , Massachusetts ," 617,594.00 "
23,Seattle , Washington ," 608,660.00 "
24,Washington[j] , District of Columbia ," 601,723.00 "
25,Nashville[k] , Tennessee ," 601,222.00 "
26,Denver[i] , Colorado ," 600,158.00 "
27,Louisville[l] , Kentucky ," 597,337.00 "
28,Milwaukee , Wisconsin ," 594,833.00 "
29,Portland , Oregon ," 583,776.00 "
30,Las Vegas , Nevada ," 583,756.00 "
31,Oklahoma City , Oklahoma ," 579,999.00 "
32,Albuquerque , New Mexico ," 545,852.00 "
33,Tucson , Arizona ," 520,116.00 "
34,Fresno , California ," 494,665.00 "
35,Sacramento , California ," 466,488.00 "
36,Long Beach , California ," 462,257.00 "
37,Kansas City , Missouri ," 459,787.00 "
38,Mesa , Arizona ," 439,041.00 "
39,Virginia Beach[m] , Virginia ," 437,994.00 "
40,Atlanta , Georgia ," 420,003.00 "
41,Colorado Springs , Colorado ," 416,427.00 "
42,Omaha , Nebraska ," 408,958.00 "
43,Raleigh , North Carolina ," 403,892.00 "
44,Miami , Florida ," 399,457.00 "
45,Cleveland , Ohio ," 396,815.00 "
46,Tulsa , Oklahoma ," 391,906.00 "
47,Oakland , California ," 390,724.00 "
48,Minneapolis , Minnesota ," 382,578.00 "
49,Wichita , Kansas ," 382,368.00 "
50,Arlington , Texas ," 365,438.00 "
51,Bakersfield , California ," 347,483.00 "
52,New Orleans[n] , Louisiana ," 343,829.00 "
53,Honolulu[b] , Hawaii ," 337,256.00 "
54,Anaheim , California ," 336,265.00 "
55,Tampa , Florida ," 335,709.00 "
56,Aurora , Colorado ," 325,078.00 "
57,Santa Ana , California ," 324,528.00 "
58,St. Louis[m] , Missouri ," 319,294.00 "
59,Pittsburgh , Pennsylvania ," 305,704.00 "
60,Corpus Christi , Texas ," 305,215.00 "
61,Riverside , California ," 303,871.00 "
62,Cincinnati , Ohio ," 296,943.00 "
63,Lexington[o] , Kentucky ," 295,803.00 "
64,Anchorage[p] , Alaska ," 291,826.00 "
65,Stockton , California ," 291,707.00 "
66,Toledo , Ohio ," 287,208.00 "
67,Saint Paul , Minnesota ," 285,068.00 "
68,Newark , New Jersey ," 277,140.00 "
69,Greensboro , North Carolina ," 269,666.00 "
70,Buffalo , New York ," 261,310.00 "
71,Plano , Texas ," 259,841.00 "
72,Lincoln , Nebraska ," 258,379.00 "
73,Henderson , Nevada ," 257,729.00 "
74,Fort Wayne , Indiana ," 253,691.00 "
75,Jersey City , New Jersey ," 247,597.00 "
76,St. Petersburg , Florida ," 244,769.00 "
77,Chula Vista , California ," 243,916.00 "
78,Norfolk[m] , Virginia ," 242,803.00 "
79,Orlando , Florida ," 238,300.00 "
80,Chandler , Arizona ," 236,123.00 "
81,Laredo , Texas ," 236,091.00 "
82,Madison , Wisconsin ," 233,209.00 "
83,Winston–Salem , North Carolina ," 229,617.00 "
84,Lubbock , Texas ," 229,573.00 "
85,Baton Rouge[s] , Louisiana ," 229,493.00 "
86,Durham , North Carolina ," 228,330.00 "
87,Garland , Texas ," 226,876.00 "
88,Glendale , Arizona ," 226,721.00 "
89,Reno , Nevada ," 225,221.00 "
90,Hialeah , Florida ," 224,669.00 "
91,Chesapeake[m] , Virginia ," 222,209.00 "
92,Scottsdale , Arizona ," 217,385.00 "
93,North Las Vegas , Nevada ," 216,961.00 "
94,Irving , Texas ," 216,290.00 "
95,Fremont , California ," 214,089.00 "
96,Irvine , California ," 212,375.00 "
97,Birmingham , Alabama ," 212,237.00 "
98,Rochester , New York ," 210,565.00 "
99,San Bernardino , California ," 209,924.00 "
100,Spokane , Washington ," 208,916.00 "
101,Gilbert[q] , Arizona ," 208,453.00 "
102,Montgomery , Alabama ," 205,764.00 "
103,Boise[r] , Idaho ," 205,671.00 "
104,Richmond[m] , Virginia ," 204,214.00 "
105,Des Moines , Iowa ," 203,433.00 "
106,Modesto , California ," 201,165.00 "
107,Fayetteville , North Carolina ," 200,564.00 "
108,Shreveport , Louisiana ," 199,311.00 "
109,Akron , Ohio ," 199,110.00 "
110,Tacoma , Washington ," 198,397.00 "
111,Aurora , Illinois ," 197,899.00 "
112,Oxnard , California ," 197,899.00 "
113,Fontana , California ," 196,069.00 "
114,Yonkers , New York ," 195,976.00 "
115,Augusta[t] , Georgia ," 195,844.00 "
116,Mobile , Alabama ," 195,111.00 "
117,Little Rock , Arkansas ," 193,524.00 "
118,Moreno Valley , California ," 193,365.00 "
119,Glendale , California ," 191,719.00 "
120,Amarillo , Texas ," 190,695.00 "
121,Huntington Beach , California ," 189,992.00 "
122,Columbus[u] , Georgia ," 189,885.00 "
123,Grand Rapids , Michigan ," 188,040.00 "
124,Salt Lake City , Utah ," 186,440.00 "
125,Tallahassee , Florida ," 181,376.00 "
126,Worcester , Massachusetts ," 181,045.00 "
127,Newport News[m] , Virginia ," 180,719.00 "
128,Huntsville , Alabama ," 180,105.00 "
129,Knoxville , Tennessee ," 178,874.00 "
130,Providence , Rhode Island ," 178,042.00 "
131,Santa Clarita , California ," 176,320.00 "
132,Grand Prairie , Texas ," 175,396.00 "
133,Brownsville , Texas ," 175,023.00 "
134,Jackson , Mississippi ," 173,514.00 "
135,Overland Park , Kansas ," 173,372.00 "
136,Garden Grove , California ," 170,883.00 "
137,Santa Rosa , California ," 167,815.00 "
138,Chattanooga , Tennessee ," 167,674.00 "
139,Oceanside , California ," 167,086.00 "
140,Fort Lauderdale , Florida ," 165,521.00 "
141,Rancho Cucamonga , California ," 165,269.00 "
142,Port St. Lucie , Florida ," 164,603.00 "
143,Ontario , California ," 163,924.00 "
144,Vancouver , Washington ," 161,791.00 "
145,Tempe , Arizona ," 161,719.00 "
146,Springfield , Missouri ," 159,498.00 "
147,Lancaster , California ," 156,633.00 "
148,Eugene , Oregon ," 156,185.00 "
149,Salem , Oregon ," 154,637.00 "
150,Cape Coral , Florida ," 154,305.00 "
151,Peoria , Arizona ," 154,065.00 "
152,Pembroke Pines , Florida ," 154,019.00 "
153,Sioux Falls , South Dakota ," 153,888.00 "
154,Springfield , Massachusetts ," 153,060.00 "
155,Elk Grove , California ," 153,015.00 "
156,Rockford , Illinois ," 152,871.00 "
157,Palmdale , California ," 152,750.00 "
158,Corona , California ," 152,374.00 "
159,Salinas , California ," 150,441.00 "
160,Pomona , California ," 149,058.00 "
161,Pasadena , Texas ," 149,043.00 "
162,Joliet , Illinois ," 147,433.00 "
163,Paterson , New Jersey ," 146,199.00 "
164,Kansas City[x] , Kansas ," 145,786.00 "
165,Torrance , California ," 145,438.00 "
166,Syracuse , New York ," 145,170.00 "
167,Bridgeport , Connecticut ," 144,229.00 "
168,Hayward , California ," 144,186.00 "
169,Fort Collins , Colorado ," 143,986.00 "
170,Escondido , California ," 143,911.00 "
171,Lakewood , Colorado ," 142,980.00 "
172,Naperville , Illinois ," 141,853.00 "
173,Dayton , Ohio ," 141,527.00 "
174,Hollywood , Florida ," 140,768.00 "
175,Sunnyvale , California ," 140,081.00 "
176,Alexandria[m] , Virginia ," 139,966.00 "
177,Mesquite , Texas ," 139,824.00 "
178,Hampton[m] , Virginia ," 137,436.00 "
179,Pasadena , California ," 137,122.00 "
180,Orange , California ," 136,416.00 "
181,Savannah , Georgia ," 136,286.00 "
182,Cary[v] , North Carolina ," 135,234.00 "
183,Fullerton , California ," 135,161.00 "
184,Warren , Michigan ," 134,056.00 "
185,Clarksville , Tennessee ," 132,929.00 "
186,McKinney , Texas ," 131,117.00 "
187,McAllen , Texas ," 129,877.00 "
188,New Haven , Connecticut ," 129,779.00 "
189,Sterling Heights , Michigan ," 129,699.00 "
190,West Valley City , Utah ," 129,480.00 "
191,Columbia , South Carolina ," 129,272.00 "
192,Killeen , Texas ," 127,921.00 "
193,Topeka , Kansas ," 127,473.00 "
194,Thousand Oaks , California ," 126,683.00 "
195,Cedar Rapids , Iowa ," 126,326.00 "
196,Olathe , Kansas ," 125,872.00 "
197,Elizabeth , New Jersey ," 124,969.00 "
198,Waco , Texas ," 124,805.00 "
199,Hartford , Connecticut ," 124,775.00 "
200,Visalia , California ," 124,442.00 "
201,Gainesville , Florida ," 124,354.00 "
202,Simi Valley , California ," 124,237.00 "
203,Stamford , Connecticut ," 122,643.00 "
204,Bellevue , Washington ," 122,363.00 "
205,Concord , California ," 122,067.00 "
206,Miramar , Florida ," 122,041.00 "
207,Coral Springs , Florida ," 121,096.00 "
208,Lafayette[y] , Louisiana ," 120,623.00 "
209,Charleston , South Carolina ," 120,083.00 "
210,Carrollton , Texas ," 119,097.00 "
211,Roseville , California ," 118,788.00 "
212,Thornton , Colorado ," 118,772.00 "
213,Beaumont , Texas ," 118,296.00 "
214,Allentown , Pennsylvania ," 118,032.00 "
215,Surprise , Arizona ," 117,517.00 "
216,Evansville , Indiana ," 117,429.00 "
217,Abilene , Texas ," 117,063.00 "
218,Frisco , Texas ," 116,989.00 "
219,Independence , Missouri ," 116,830.00 "
220,Santa Clara , California ," 116,468.00 "
221,Springfield , Illinois ," 116,250.00 "
222,Vallejo , California ," 115,942.00 "
223,Victorville , California ," 115,903.00 "
224,Athens[z] , Georgia ," 115,452.00 "
225,Peoria , Illinois ," 115,007.00 "
226,Lansing , Michigan ," 114,297.00 "
227,Ann Arbor , Michigan ," 113,934.00 "
228,El Monte , California ," 113,475.00 "
229,Denton , Texas ," 113,383.00 "
230,Berkeley , California ," 112,580.00 "
231,Provo , Utah ," 112,488.00 "
232,Downey , California ," 111,772.00 "
233,Midland , Texas ," 111,147.00 "
234,Norman , Oklahoma ," 110,925.00 "
235,Waterbury , Connecticut ," 110,366.00 "
236,Costa Mesa , California ," 109,960.00 "
237,Inglewood , California ," 109,673.00 "
238,Manchester , New Hampshire ," 109,565.00 "
239,Murfreesboro , Tennessee ," 108,755.00 "
240,Columbia , Missouri ," 108,500.00 "
241,Elgin , Illinois ," 108,188.00 "
242,Clearwater , Florida ," 107,685.00 "
243,Miami Gardens , Florida ," 107,167.00 "
244,Rochester , Minnesota ," 106,769.00 "
245,Pueblo , Colorado ," 106,595.00 "
246,Lowell , Massachusetts ," 106,519.00 "
247,Wilmington , North Carolina ," 106,476.00 "
248,Arvada , Colorado ," 106,433.00 "
249,Ventura[ab] , California ," 106,433.00 "
250,Westminster , Colorado ," 106,114.00 "
251,West Covina , California ," 106,098.00 "
252,Gresham , Oregon ," 105,594.00 "
253,Fargo , North Dakota ," 105,549.00 "
254,Norwalk , California ," 105,549.00 "
255,Carlsbad , California ," 105,328.00 "
256,Fairfield , California ," 105,321.00 "
257,Cambridge , Massachusetts ," 105,162.00 "
258,Wichita Falls , Texas ," 104,553.00 "
259,High Point , North Carolina ," 104,371.00 "
260,Billings , Montana ," 104,170.00 "
261,Green Bay , Wisconsin ," 104,057.00 "
262,West Jordan , Utah ," 103,712.00 "
263,Richmond , California ," 103,701.00 "
264,Murrieta , California ," 103,466.00 "
265,Burbank , California ," 103,340.00 "
266,Palm Bay , Florida ," 103,190.00 "
267,Everett , Washington ," 103,019.00 "
268,Antioch , California ," 102,372.00 "
269,South Bend , Indiana ," 101,168.00 "
270,Daly City , California ," 101,123.00 "
271,Centennial , Colorado ," 100,377.00 "
272,Temecula , California ," 100,097.00 "
273,Odessa , Texas ," 99,940.00 "
274,West Palm Beach , Florida ," 99,919.00 "
275,Round Rock , Texas ," 99,887.00 "
276,Pompano Beach , Florida ," 99,845.00 "
277,Davenport , Iowa ," 99,685.00 "
278,Santa Maria , California ," 99,553.00 "
279,El Cajon , California ," 99,478.00 "
280,Richardson , Texas ," 99,223.00 "
281,Rialto , California ," 99,171.00 "
282,Broken Arrow , Oklahoma ," 98,850.00 "
283,Las Cruces , New Mexico ," 97,618.00 "
284,North Charleston , South Carolina ," 97,471.00 "
285,Lakeland , Florida ," 97,422.00 "
286,Boulder , Colorado ," 97,385.00 "
287,San Mateo , California ," 97,207.00 "
288,Tyler , Texas ," 96,900.00 "
289,Clovis , California ," 95,631.00 "
290,Lewisville , Texas ," 95,290.00 "
291,College Station , Texas ," 93,857.00 "
292,Sandy Springs , Georgia ," 93,853.00 "
293,Vista , California ," 93,834.00 "
294,San Angelo , Texas ," 93,200.00 "
295,Greeley , Colorado ," 92,889.00 "
296,Vacaville , California ," 92,428.00 "
297,Kent , Washington ," 92,411.00 "
298,Davie[ac] , Florida ," 91,992.00 "
299,Hillsboro , Oregon ," 91,611.00 "
300,Lee's Summit , Missouri ," 91,364.00 "
301,Macon[w] , Georgia ," 91,351.00 "
302,Pearland , Texas ," 91,252.00 "
303,Renton , Washington ," 90,927.00 "
304,Tuscaloosa , Alabama ," 90,468.00 "
305,Sparks , Nevada ," 90,264.00 "
306,Spokane Valley , Washington ," 89,755.00 "
307,Chico , California ," 86,187.00 "
308,Allen , Texas ," 84,246.00 "
309,League City , Texas ," 83,560.00 "
310,Nampa , Idaho ," 81,557.00 "
311,Carmel , Indiana ," 79,191.00 "
312,Sugar Land , Texas ," 78,817.00 "
313,Edinburg , Texas ," 77,100.00 "
314,Bend , Oregon ," 76,639.00 "
315,Meridian , Idaho ," 75,092.00 "
316,Jurupa Valley , California , -   
317,South Fulton , Georgia , -   